system;query;index;selected-ir;;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;55;374;index;0.0026737968;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;56;9;index;0.1111111111;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;57;340;index;0.0029411765;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;58;13368;index;7.48055056852184E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;59;8587;index;0.0001164551;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;60;14008;index;7.13877784123358E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;61;2467;index;0.0004053506;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;62;1683;index;0.0005941771;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;63;2381;index;0.0004199916;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;64;5970;index;0.0001675042;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;65;2335;index;0.0004282655;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;66;1983;index;0.0005042864;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;67;1386;index;0.0007215007;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;68;574;index;0.0017421603;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;69;3392;index;0.0002948113;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;70;752;index;0.0013297872;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;71;1638;index;0.0006105006;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;72;1028;index;0.0009727626;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;73;180;index;0.0055555556;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;74;1;index;1;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;75;5819;index;0.0001718508;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;76;29171;index;3.42806211648555E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;77;2308;index;0.0004332756;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;78;27846;index;3.5911800617683E-005;
